,hands_played,pots_won,amount_won,to_inv,net_win,per_hand,vpip_count,inv_count,vpip,% won,avg_p_size,avg_agg,per_hand_inv,avg_player_num,avg_post_num,p_score,f_score,t_score,r_score
oxAqtCJZTKkguUf3/MB67w,5721,553.0,7175.080000000001,10104.359999999999,-2929.279999999998,-0.5120223737108893,855,1975,0.14944939695857368,0.28,12.97482820976492,0.09858416360776089,-1.483179746835442,8.32721552176193,1.7451494493969586,0.09124278972207656,0.0047194546407970635,0.0024471246285614405,0.00017479461632581716
wOjj4p2wrhSkuhOlkjqI0Q,5572,1038.0,15490.789999999999,18887.529999999995,-3396.739999999996,-0.609608758076094,1338,2979,0.24012921751615218,0.34843907351460224,14.923689788053949,0.2024407753050969,-1.1402282645182935,5.365218951902369,1.2212849964106245,0.19113424264178033,0.007537688442211055,0.002512562814070352,0.001256281407035176
gSGBr7I0ax5a1CqaVuc3BQ,5539,661.0,11940.659999999998,13267.62,-1326.9600000000028,-0.23956670879220127,1369,2171,0.24715652644881747,0.30446798710271766,18.064538577912252,0.08990792561834265,-0.6112206356517746,8.303484383462719,1.8698320996569777,0.07564542336161761,0.009568514172233256,0.00397183607149305,0.0007221520129987362
18s11q1bNKhkyxaWhsoZtg,5441,543.0,8021.930000000002,9999.830000000004,-1977.9000000000015,-0.3635177357103476,996,1997,0.18305458555412607,0.27190786179268905,14.773351749539598,0.11413343135453041,-0.9904356534802211,8.351405991545672,1.9038779636096306,0.10365741591619188,0.006800220547693438,0.0029406359125160814,0.0007351589781290203
LT221YrZPBSgJyrBLTEuSA,5440,342.0,5045.35,5735.67,-690.3199999999997,-0.12689705882352936,626,1772,0.1150735294117647,0.1930022573363431,14.75248538011696,0.053125,-0.38957110609480794,8.490073529411765,1.8373161764705883,0.047610294117647056,0.0034926470588235296,0.0014705882352941176,0.0005514705882352941
h3sZ/TSude02gD1QMh1enw,5431,614.0,9893.099999999999,11774.2,-1881.1000000000022,-0.34636346897440656,1259,2204,0.23181734487203093,0.27858439201451907,16.112540716612376,0.07917510587368809,-0.8534936479128866,7.972564905174001,1.7678143988215798,0.06462898177131284,0.00902227950653655,0.0038666912170870925,0.0016571533787516112
+jE3VGAx2H1IIGDl+bcsgw,5371,640.0,7946.95,10536.67,-2589.7200000000003,-0.48216719419102594,907,1886,0.16886985663749768,0.33934252386002123,12.417109374999999,0.13889406069633214,-1.3731283138918347,8.358778625954198,1.8071122695959785,0.13126047291007262,0.005771737106684044,0.0016756656116179481,0.0001861850679575498
dPft7g2lbDhkes7WOvCpKA,5215,867.0,13595.130000000001,14072.290000000003,-477.1600000000017,-0.09149760306807318,1258,2696,0.24122722914669223,0.3215875370919881,15.680657439446367,0.19463087248322147,-0.17698813056379883,5.571620325982742,1.3428571428571427,0.18676893576222436,0.006136145733461169,0.0011505273250239693,0.0005752636625119846
iwXCq/1JV0liO4FIwKf6og,5028,769.0,10422.009999999998,13058.65,-2636.6400000000012,-0.5243914081145588,1215,2576,0.24164677804295942,0.2985248447204969,13.55267880364109,0.13345266507557677,-1.0235403726708079,5.437350835322196,1.464200477326969,0.1173428798727128,0.010938743038981702,0.003381066030230708,0.0017899761336515514
KO9flpANAMdddHeAjBlVLA,4943,751.0,10918.82,13082.550000000001,-2163.7300000000014,-0.43773619259559,1096,2634,0.22172769573133724,0.2851176917236143,14.539041278295606,0.17641108638478656,-0.8214616552771455,5.371434351608335,1.3222739227189966,0.16528424033987457,0.004450738417964798,0.005462269876593162,0.001213837750354036
